Record;Tiempo;Date;UTC Time;Frecuencia;Presion;caudal1;caudal2;;1000000
1;0,4;01/04/1970;2:56:01;1,5;14,9;0,0;11,4;;
2;0,8;01/04/1970;2:56:02;1,5;14,9;0,0;17,2;;
3;1,2;01/04/1970;2:56:02;1,5;14,9;0,0;18,0;;
4;1,6;01/04/1970;2:56:03;1,5;14,9;0,0;20,8;;
5;2;01/04/1970;2:56:03;1,5;14,8;0,0;19,7;;
6;2,4;01/04/1970;2:56:03;1,5;14,9;0,0;17,1;;
7;2,8;01/04/1970;2:56:04;1,5;15,0;0,0;17,8;;
8;3,2;01/04/1970;2:56:04;1,5;14,8;0,0;16,1;;
9;3,6;01/04/1970;2:56:05;1,5;14,9;0,0;16,5;;
10;4;01/04/1970;2:56:05;1,5;15,0;0,0;18,5;;
11;4,4;01/04/1970;2:56:05;1,5;14,9;0,0;16,7;;
12;4,8;01/04/1970;2:56:06;1,5;14,9;0,0;18,9;;
13;5,2;01/04/1970;2:56:06;1,5;15,0;0,0;18,0;;
14;5,6;01/04/1970;2:56:07;1,5;14,8;0,0;18,4;;
15;6;01/04/1970;2:56:07;1,5;15,1;0,0;20,5;;
16;6,4;01/04/1970;2:56:07;1,5;15,0;0,0;18,6;;
17;6,8;01/04/1970;2:56:08;1,5;14,8;0,0;20,5;;
18;7,2;01/04/1970;2:56:08;1,5;14,9;0,0;19,8;;
19;7,6;01/04/1970;2:56:09;1,5;15,0;0,0;20,1;;
20;8;01/04/1970;2:56:09;1,5;14,9;0,0;21,4;;
21;8,4;01/04/1970;2:56:09;1,5;14,9;0,0;19,3;;
22;8,8;01/04/1970;2:56:10;1,5;15,0;0,0;20,8;;
23;9,2;01/04/1970;2:56:10;1,5;14,9;0,0;19,8;;
24;9,6;01/04/1970;2:56:11;1,5;14,9;0,0;19,9;;
25;10;01/04/1970;2:56:11;1,5;15,0;0,0;21,3;;
26;10,4;01/04/1970;2:56:11;1,5;14,9;0,0;18,9;;
27;10,8;01/04/1970;2:56:12;1,5;14,9;0,0;20,8;;
28;11,2;01/04/1970;2:56:12;1,5;15,0;0,0;20,1;;
29;11,6;01/04/1970;2:56:13;1,5;14,9;0,0;19,7;;
30;12;01/04/1970;2:56:13;1,5;14,8;0,0;21,2;;
31;12,4;01/04/1970;2:56:13;1,5;15,0;0,0;19,1;;
32;12,8;01/04/1970;2:56:14;1,5;14,9;0,0;21,2;;
33;13,2;01/04/1970;2:56:14;1,5;14,9;0,0;20,6;;
34;13,6;01/04/1970;2:56:15;1,5;15,0;0,0;20,1;;
35;14;01/04/1970;2:56:15;1,5;15,0;0,0;21,3;;
36;14,4;01/04/1970;2:56:15;1,5;14,9;0,0;19,2;;
37;14,8;01/04/1970;2:56:16;1,5;15,0;0,0;20,7;;
38;15,2;01/04/1970;2:56:16;1,5;14,9;0,0;20,2;;
39;15,6;01/04/1970;2:56:17;1,5;14,9;0,0;19,9;;
40;16;01/04/1970;2:56:17;1,5;15,0;0,0;21,4;;
41;16,4;01/04/1970;2:56:17;1,5;14,9;0,0;19,0;;
42;16,8;01/04/1970;2:56:18;1,5;14,9;0,0;20,6;;
43;17,2;01/04/1970;2:56:18;1,5;15,0;0,0;20,0;;
44;17,6;01/04/1970;2:56:19;1,5;14,9;0,0;19,5;;
45;18;01/04/1970;2:56:19;1,5;14,9;0,0;20,9;;
46;18,4;01/04/1970;2:56:19;1,5;15,0;0,0;17,9;;
47;18,8;01/04/1970;2:56:20;1,5;14,9;0,0;19,5;;
48;19,2;01/04/1970;2:56:20;1,5;15,0;0,0;18,9;;
49;19,6;01/04/1970;2:56:21;1,5;15,0;0,0;18,1;;
50;20;01/04/1970;2:56:21;1,5;14,9;0,0;19,9;;
51;20,4;01/04/1970;2:56:21;1,5;14,9;0,0;17,8;;
52;20,8;01/04/1970;2:56:22;1,5;15,0;0,0;19,8;;
53;21,2;01/04/1970;2:56:22;1,5;14,9;0,0;19,4;;
54;21,6;01/04/1970;2:56:23;1,5;15,0;0,0;19,2;;
55;22;01/04/1970;2:56:23;1,5;14,9;0,0;20,7;;
56;22,4;01/04/1970;2:56:23;1,5;15,0;0,0;18,6;;
57;22,8;01/04/1970;2:56:24;1,5;15,0;0,0;20,2;;
58;23,2;01/04/1970;2:56:24;1,5;15,1;0,0;19,8;;
59;23,6;01/04/1970;2:56:25;1,5;15,1;0,0;19,6;;
60;24;01/04/1970;2:56:25;1,5;14,9;0,0;21,4;;
61;24,4;01/04/1970;2:56:25;1,5;15,1;0,0;19,5;;
62;24,8;01/04/1970;2:56:26;1,5;15,1;0,0;20,9;;
63;25,2;01/04/1970;2:56:26;1,5;15,0;0,0;20,7;;
64;25,6;01/04/1970;2:56:27;1,5;15,1;0,0;19,9;;
65;26;01/04/1970;2:56:27;1,5;15,0;0,0;21,2;;
66;26,4;01/04/1970;2:56:27;1,5;15,0;0,0;18,9;;
67;26,8;01/04/1970;2:56:28;1,5;15,1;0,0;20,2;;
68;27,2;01/04/1970;2:56:28;1,5;15,2;0,0;20,3;;
69;27,6;01/04/1970;2:56:29;1,5;15,0;0,0;19,5;;
70;28;01/04/1970;2:56:29;1,5;15,1;0,0;21,1;;
71;28,4;01/04/1970;2:56:29;1,5;15,2;0,0;19,0;;
72;28,8;01/04/1970;2:56:30;1,5;15,0;0,0;20,3;;
73;29,2;01/04/1970;2:56:30;1,5;15,1;0,0;19,9;;
74;29,6;01/04/1970;2:56:31;1,5;15,2;0,0;19,5;;
75;30;01/04/1970;2:56:31;1,5;15,1;0,0;21,2;;
76;30,4;01/04/1970;2:56:31;1,5;15,1;0,0;19,0;;
77;30,8;01/04/1970;2:56:32;1,5;15,2;0,0;20,0;;
78;31,2;01/04/1970;2:56:32;1,5;15,0;0,0;20,3;;
79;31,6;01/04/1970;2:56:33;1,5;15,1;0,0;19,1;;
80;32;01/04/1970;2:56:33;1,5;15,0;0,0;21,1;;
81;32,4;01/04/1970;2:56:33;1,5;15,0;0,0;18,9;;
82;32,8;01/04/1970;2:56:34;1,5;15,1;0,0;20,2;;
83;33,2;01/04/1970;2:56:34;1,5;15,2;0,0;20,6;;
84;33,6;01/04/1970;2:56:35;1,5;15,0;0,0;19,2;;
85;34;01/04/1970;2:56:35;1,5;15,1;0,0;21,0;;
86;34,4;01/04/1970;2:56:35;1,5;15,2;0,0;19,1;;
87;34,8;01/04/1970;2:56:36;1,5;15,1;0,0;20,3;;
88;35,2;01/04/1970;2:56:36;1,5;15,1;0,0;20,3;;
89;35,6;01/04/1970;2:56:37;1,5;15,2;0,0;19,4;;
90;36;01/04/1970;2:56:37;1,5;15,2;0,0;21,1;;
91;36,4;01/04/1970;2:56:37;1,5;15,1;0,0;18,9;;
92;36,8;01/04/1970;2:56:38;1,5;15,2;0,0;20,0;;
93;37,2;01/04/1970;2:56:38;1,5;15,1;0,0;20,3;;
94;37,6;01/04/1970;2:56:39;1,5;15,1;0,0;19,3;;
95;38;01/04/1970;2:56:39;1,5;15,3;0,0;21,1;;
96;38,4;01/04/1970;2:56:39;1,5;15,1;0,0;19,1;;
97;38,8;01/04/1970;2:56:40;1,5;15,2;0,0;20,4;;
98;39,2;01/04/1970;2:56:40;1,5;15,2;0,0;20,5;;
99;39,6;01/04/1970;2:56:41;1,5;15,1;0,0;19,3;;
100;40;01/04/1970;2:56:41;1,5;15,0;0,0;21,2;;
101;40,4;01/04/1970;2:56:41;1,5;15,2;0,0;19,4;;
102;40,8;01/04/1970;2:56:42;1,5;15,1;0,0;20,4;;
103;41,2;01/04/1970;2:56:42;1,5;15,1;0,0;20,6;;
104;41,6;01/04/1970;2:56:43;1,5;15,2;0,0;19,5;;
105;42;01/04/1970;2:56:43;1,5;15,2;0,0;21,3;;
106;42,4;01/04/1970;2:56:43;1,5;15,2;0,0;19,5;;
107;42,8;01/04/1970;2:56:44;1,5;15,2;0,0;20,7;;
108;43,2;01/04/1970;2:56:44;1,5;15,2;0,0;20,8;;
109;43,6;01/04/1970;2:56:45;1,5;15,1;0,0;19,5;;
110;44;01/04/1970;2:56:45;1,5;15,2;0,0;21,2;;
111;44,4;01/04/1970;2:56:45;1,5;15,2;0,0;19,4;;
112;44,8;01/04/1970;2:56:46;1,5;15,1;0,0;20,3;;
113;45,2;01/04/1970;2:56:46;1,5;15,2;0,0;20,4;;
114;45,6;01/04/1970;2:56:47;1,5;15,2;0,0;18,9;;
115;46;01/04/1970;2:56:47;1,5;15,2;0,0;21,0;;
116;46,4;01/04/1970;2:56:47;1,5;15,2;0,0;18,4;;
117;46,8;01/04/1970;2:56:48;1,5;15,2;0,0;19,6;;
118;47,2;01/04/1970;2:56:48;1,5;15,1;0,0;19,9;;
119;47,6;01/04/1970;2:56:49;1,5;15,3;0,0;18,0;;
120;48;01/04/1970;2:56:49;1,5;15,3;0,0;20,1;;
121;48,4;01/04/1970;2:56:49;1,5;15,2;0,0;18,5;;
122;48,8;01/04/1970;2:56:50;1,5;15,3;0,0;19,3;;
123;49,2;01/04/1970;2:56:50;1,5;15,2;0,0;20,2;;
124;49,6;01/04/1970;2:56:51;1,5;15,2;0,0;18,8;;
125;50;01/04/1970;2:56:51;1,5;15,3;0,0;20,6;;
126;50,4;01/04/1970;2:56:51;1,5;15,2;0,0;18,7;;
127;50,8;01/04/1970;2:56:52;1,5;15,2;0,0;19,9;;
128;51,2;01/04/1970;2:56:52;1,5;15,3;0,0;20,6;;
129;51,6;01/04/1970;2:56:53;1,5;15,3;0,0;18,8;;
130;52;01/04/1970;2:56:53;1,5;15,1;0,0;20,8;;
131;52,4;01/04/1970;2:56:53;1,5;15,2;0,0;18,8;;
132;52,8;01/04/1970;2:56:54;1,5;15,3;0,0;19,3;;
133;53,2;01/04/1970;2:56:54;1,5;15,2;0,0;19,6;;
134;53,6;01/04/1970;2:56:55;1,5;15,2;0,0;18,3;;
135;54;01/04/1970;2:56:55;1,5;15,3;0,0;20,4;;
136;54,4;01/04/1970;2:56:55;1,5;15,2;0,0;18,1;;
137;54,8;01/04/1970;2:56:56;1,5;15,3;0,0;18,6;;
138;55,2;01/04/1970;2:56:56;1,5;15,3;0,0;19,2;;
139;55,6;01/04/1970;2:56:57;1,5;15,2;0,0;17,6;;
140;56;01/04/1970;2:56:57;1,5;15,2;0,0;20,0;;
141;56,4;01/04/1970;2:56:57;1,5;15,3;0,0;18,3;;
142;56,8;01/04/1970;2:56:58;1,5;15,2;0,0;19,2;;
143;57,2;01/04/1970;2:56:58;1,5;15,2;0,0;20,0;;
144;57,6;01/04/1970;2:56:59;1,5;15,3;0,0;18,3;;
145;58;01/04/1970;2:56:59;1,5;15,2;0,0;20,5;;
146;58,4;01/04/1970;2:56:59;1,5;15,2;0,0;18,8;;
147;58,8;01/04/1970;2:57:00;1,5;15,3;0,0;19,6;;
148;59,2;01/04/1970;2:57:00;1,5;15,2;0,0;20,4;;
149;59,6;01/04/1970;2:57:01;1,5;15,2;0,0;18,4;;
150;60;01/04/1970;2:57:01;1,5;15,3;0,0;20,6;;
151;60,4;01/04/1970;2:57:01;1,5;15,2;0,0;19,4;;
152;60,8;01/04/1970;2:57:02;1,5;15,3;0,0;19,7;;
153;61,2;01/04/1970;2:57:02;1,5;15,3;0,0;20,7;;
154;61,6;01/04/1970;2:57:03;1,5;15,2;0,0;19,0;;
155;62;01/04/1970;2:57:03;1,5;15,3;0,0;20,7;;
156;62,4;01/04/1970;2:57:03;1,5;15,3;0,0;19,5;;
157;62,8;01/04/1970;2:57:04;1,5;15,3;0,0;19,8;;
158;63,2;01/04/1970;2:57:04;1,5;15,3;0,0;20,9;;
159;63,6;01/04/1970;2:57:05;1,5;15,3;0,0;19,0;;
160;64;01/04/1970;2:57:05;1,5;15,3;0,0;20,9;;
161;64,4;01/04/1970;2:57:05;1,5;15,3;0,0;19,7;;
162;64,8;01/04/1970;2:57:06;1,5;15,4;0,0;20,0;;
163;65,2;01/04/1970;2:57:06;1,5;15,4;0,0;20,7;;
164;65,6;01/04/1970;2:57:07;1,5;15,3;0,0;19,0;;
165;66;01/04/1970;2:57:07;1,5;15,4;0,0;21,1;;
166;66,4;01/04/1970;2:57:07;1,5;15,4;0,0;19,7;;
167;66,8;01/04/1970;2:57:08;1,5;15,3;0,0;19,7;;
168;67,2;01/04/1970;2:57:08;1,5;15,3;0,0;20,8;;
169;67,6;01/04/1970;2:57:09;1,5;15,4;0,0;18,9;;
170;68;01/04/1970;2:57:09;1,5;15,3;0,0;20,8;;
171;68,4;01/04/1970;2:57:09;1,5;15,3;0,0;19,7;;
172;68,8;01/04/1970;2:57:10;1,5;15,4;0,0;19,9;;
173;69,2;01/04/1970;2:57:10;1,5;15,3;0,0;21,2;;
174;69,6;01/04/1970;2:57:11;1,5;15,3;0,0;19,2;;
175;70;01/04/1970;2:57:11;1,5;15,4;0,0;20,7;;
176;70,4;01/04/1970;2:57:11;1,5;15,3;0,0;19,7;;
177;70,8;01/04/1970;2:57:12;1,5;15,4;0,0;20,1;;
178;71,2;01/04/1970;2:57:12;1,5;15,4;0,0;21,1;;
179;71,6;01/04/1970;2:57:13;1,5;15,3;0,0;18,9;;
180;72;01/04/1970;2:57:13;1,5;15,4;0,0;20,7;;
181;72,4;01/04/1970;2:57:13;1,5;15,4;0,0;19,7;;
182;72,8;01/04/1970;2:57:14;1,5;15,3;0,0;20,0;;
183;73,2;01/04/1970;2:57:14;1,5;15,4;0,0;21,3;;
184;73,6;01/04/1970;2:57:15;1,5;15,4;0,0;19,2;;
185;74;01/04/1970;2:57:15;1,5;15,3;0,0;20,9;;
186;74,4;01/04/1970;2:57:15;1,5;15,3;0,0;19,9;;
187;74,8;01/04/1970;2:57:16;1,5;15,4;0,0;19,5;;
188;75,2;01/04/1970;2:57:16;1,5;15,4;0,0;20,9;;
189;75,6;01/04/1970;2:57:17;1,5;15,4;0,0;19,0;;
190;76;01/04/1970;2:57:17;1,5;15,4;0,0;20,8;;
191;76,4;01/04/1970;2:57:17;1,5;15,3;0,0;19,7;;
192;76,8;01/04/1970;2:57:18;1,5;15,4;0,0;19,7;;
193;77,2;01/04/1970;2:57:18;1,5;15,4;0,0;20,9;;
194;77,6;01/04/1970;2:57:19;1,5;15,4;0,0;19,0;;
195;78;01/04/1970;2:57:19;1,5;15,3;0,0;20,6;;
196;78,4;01/04/1970;2:57:19;1,5;15,4;0,0;19,9;;
197;78,8;01/04/1970;2:57:20;1,5;15,4;0,0;19,5;;
198;79,2;01/04/1970;2:57:20;1,5;15,5;0,0;20,9;;
199;79,6;01/04/1970;2:57:21;1,5;15,5;0,0;18,9;;
200;80;01/04/1970;2:57:21;1,5;15,4;0,0;20,6;;
201;80,4;01/04/1970;2:57:21;1,5;15,4;0,0;19,6;;
202;80,8;01/04/1970;2:57:22;1,5;15,4;0,0;20,0;;
203;81,2;01/04/1970;2:57:22;1,5;15,5;0,0;21,2;;
204;81,6;01/04/1970;2:57:23;1,5;15,4;0,0;18,8;;
205;82;01/04/1970;2:57:23;1,5;15,4;0,0;20,6;;
206;82,4;01/04/1970;2:57:23;1,5;15,5;0,0;20,0;;
207;82,8;01/04/1970;2:57:24;1,5;15,4;0,0;19,8;;
208;83,2;01/04/1970;2:57:24;1,5;15,6;0,0;21,0;;
209;83,6;01/04/1970;2:57:25;1,5;15,4;0,0;19,1;;
210;84;01/04/1970;2:57:25;1,5;15,4;0,0;20,9;;
211;84,4;01/04/1970;2:57:25;1,5;15,5;0,0;19,7;;
212;84,8;01/04/1970;2:57:26;1,5;15,5;0,0;20,0;;
213;85,2;01/04/1970;2:57:26;1,5;15,5;0,0;21,4;;
214;85,6;01/04/1970;2:57:27;1,5;15,5;0,0;19,3;;
215;86;01/04/1970;2:57:27;1,5;15,5;0,0;21,2;;
216;86,4;01/04/1970;2:57:27;1,5;15,4;0,0;20,1;;
217;86,8;01/04/1970;2:57:28;1,5;15,5;0,0;19,6;;
218;87,2;01/04/1970;2:57:28;1,5;15,8;0,0;21,0;;
219;87,6;01/04/1970;2:57:29;1,5;15,4;0,0;18,9;;
220;88;01/04/1970;2:57:29;1,5;15,5;0,0;20,7;;
221;88,4;01/04/1970;2:57:29;1,5;15,6;0,0;20,0;;
222;88,8;01/04/1970;2:57:30;1,5;15,4;0,0;19,5;;
223;89,2;01/04/1970;2:57:30;1,5;15,5;0,0;21,1;;
224;89,6;01/04/1970;2:57:31;1,5;15,6;0,0;18,8;;
225;90;01/04/1970;2:57:31;1,5;15,4;0,0;20,5;;
226;90,4;01/04/1970;2:57:31;1,5;15,5;0,0;20,1;;
227;90,8;01/04/1970;2:57:32;1,5;15,6;0,0;19,2;;
228;91,2;01/04/1970;2:57:32;1,5;15,4;0,0;20,6;;
229;91,6;01/04/1970;2:57:33;1,5;15,5;0,0;18,3;;
230;92;01/04/1970;2:57:33;1,5;15,6;0,0;20,2;;
231;92,4;01/04/1970;2:57:33;1,5;15,4;0,0;19,8;;
232;92,8;01/04/1970;2:57:34;1,5;15,5;0,0;19,5;;
233;93,2;01/04/1970;2:57:34;1,5;15,6;0,0;20,8;;
234;93,6;01/04/1970;2:57:35;1,5;15,5;0,0;18,7;;
235;94;01/04/1970;2:57:35;1,5;15,5;0,0;20,3;;
236;94,4;01/04/1970;2:57:35;1,5;15,6;0,0;19,6;;
237;94,8;01/04/1970;2:57:36;1,5;15,5;0,0;19,4;;
238;95,2;01/04/1970;2:57:36;1,5;15,5;0,0;21,1;;
239;95,6;01/04/1970;2:57:37;1,5;15,7;0,0;19,1;;
240;96;01/04/1970;2:57:37;1,5;15,5;0,0;20,5;;
241;96,4;01/04/1970;2:57:37;1,5;15,6;0,0;20,4;;
242;96,8;01/04/1970;2:57:38;1,5;15,7;0,0;19,6;;
243;97,2;01/04/1970;2:57:38;1,5;15,5;0,0;21,2;;
244;97,6;01/04/1970;2:57:39;1,5;15,6;0,0;19,1;;
245;98;01/04/1970;2:57:39;1,5;15,6;0,0;20,9;;
246;98,4;01/04/1970;2:57:39;1,5;15,6;0,0;20,4;;
247;98,8;01/04/1970;2:57:40;1,5;15,6;0,0;19,7;;
248;99,2;01/04/1970;2:57:40;1,5;15,6;0,0;21,3;;
249;99,6;01/04/1970;2:57:41;1,5;15,6;0,0;19,3;;
250;100;01/04/1970;2:57:41;1,5;15,6;0,0;20,8;;
251;100,4;01/04/1970;2:57:41;1,5;15,6;0,0;20,5;;
252;100,8;01/04/1970;2:57:42;1,5;15,7;0,0;19,7;;
253;101,2;01/04/1970;2:57:42;1,5;15,6;0,0;21,3;;
254;101,6;01/04/1970;2:57:43;1,5;15,7;0,0;19,2;;
255;102;01/04/1970;2:57:43;1,5;15,7;0,0;20,6;;
256;102,4;01/04/1970;2:57:43;1,5;15,6;0,0;20,4;;
257;102,8;01/04/1970;2:57:44;1,5;15,7;0,0;19,5;;
258;103,2;01/04/1970;2:57:44;1,5;15,6;0,0;21,3;;
259;103,6;01/04/1970;2:57:45;1,5;15,6;0,0;19,0;;
260;104;01/04/1970;2:57:45;1,5;15,7;0,0;20,1;;
261;104,4;01/04/1970;2:57:45;1,5;15,7;0,0;20,2;;
262;104,8;01/04/1970;2:57:46;1,5;15,6;0,0;19,7;;
263;105,2;01/04/1970;2:57:46;1,5;15,6;0,0;21,1;;
264;105,6;01/04/1970;2:57:47;1,5;15,7;0,0;19,1;;
265;106;01/04/1970;2:57:47;1,5;15,7;0,0;20,4;;
266;106,4;01/04/1970;2:57:47;1,5;15,7;0,0;20,3;;
267;106,8;01/04/1970;2:57:48;1,5;15,8;0,0;19,5;;
268;107,2;01/04/1970;2:57:48;1,5;15,7;0,0;21,4;;
269;107,6;01/04/1970;2:57:49;1,5;15,7;0,0;19,5;;
270;108;01/04/1970;2:57:49;1,5;15,8;0,0;20,9;;
271;108,4;01/04/1970;2:57:49;1,5;15,7;0,0;20,8;;
272;108,8;01/04/1970;2:57:50;1,5;15,7;0,0;19,8;;
273;109,2;01/04/1970;2:57:50;1,5;15,9;0,0;21,3;;
274;109,6;01/04/1970;2:57:51;1,5;15,7;0,0;19,3;;
275;110;01/04/1970;2:57:51;1,5;15,7;0,0;20,2;;
276;110,4;01/04/1970;2:57:51;1,5;15,8;0,0;20,3;;
277;110,8;01/04/1970;2:57:52;1,5;15,7;0,0;19,6;;
278;111,2;01/04/1970;2:57:52;1,5;15,8;0,0;21,1;;
279;111,6;01/04/1970;2:57:53;1,5;15,8;0,0;18,8;;
280;112;01/04/1970;2:57:53;1,5;15,7;0,0;20,3;;
281;112,4;01/04/1970;2:57:53;1,5;15,8;0,0;20,7;;
282;112,8;01/04/1970;2:57:54;1,5;15,8;0,0;19,7;;
283;113,2;01/04/1970;2:57:54;1,5;15,7;0,0;21,4;;
284;113,6;01/04/1970;2:57:55;1,5;15,8;0,0;19,5;;
285;114;01/04/1970;2:57:55;1,5;15,8;0,0;20,6;;
286;114,4;01/04/1970;2:57:55;1,5;15,8;0,0;20,6;;
287;114,8;01/04/1970;2:57:56;1,5;15,8;0,0;19,5;;
288;115,2;01/04/1970;2:57:56;1,5;15,8;0,0;21,3;;
289;115,6;01/04/1970;2:57:57;1,5;15,8;0,0;19,6;;
290;116;01/04/1970;2:57:57;1,5;15,8;0,0;20,6;;
291;116,4;01/04/1970;2:57:57;1,5;15,8;0,0;20,8;;
292;116,8;01/04/1970;2:57:58;1,5;15,8;0,0;19,4;;
293;117,2;01/04/1970;2:57:58;1,5;15,8;0,0;21,2;;
294;117,6;01/04/1970;2:57:59;1,5;15,8;0,0;19,3;;
295;118;01/04/1970;2:57:59;1,5;15,8;0,0;20,3;;
296;118,4;01/04/1970;2:57:59;1,5;15,8;0,0;20,7;;
297;118,8;01/04/1970;2:58:00;1,5;15,8;0,0;19,4;;
298;119,2;01/04/1970;2:58:00;1,5;15,9;0,0;21,1;;
299;119,6;01/04/1970;2:58:01;1,5;15,8;0,0;19,3;;
300;120;01/04/1970;2:58:01;1,5;15,9;0,0;20,5;;
301;120,4;01/04/1970;2:58:01;1,5;15,9;0,0;20,6;;
302;120,8;01/04/1970;2:58:02;1,5;15,9;0,0;19,3;;
303;121,2;01/04/1970;2:58:02;1,5;15,9;0,0;21,2;;
304;121,6;01/04/1970;2:58:03;1,5;15,9;0,0;19,3;;
305;122;01/04/1970;2:58:03;1,5;15,9;0,0;20,1;;
306;122,4;01/04/1970;2:58:03;1,5;15,9;0,0;20,7;;
307;122,8;01/04/1970;2:58:04;1,5;15,9;0,0;19,2;;
308;123,2;01/04/1970;2:58:04;1,5;15,9;0,0;21,0;;
309;123,6;01/04/1970;2:58:05;1,5;15,9;0,0;19,2;;
310;124;01/04/1970;2:58:05;1,5;15,9;0,0;20,1;;
311;124,4;01/04/1970;2:58:05;1,5;15,9;0,0;20,6;;
312;124,8;01/04/1970;2:58:06;1,5;15,9;0,0;19,2;;
313;125,2;01/04/1970;2:58:06;1,5;16,0;0,0;20,8;;
314;125,6;01/04/1970;2:58:07;1,5;15,9;0,0;19,2;;
315;126;01/04/1970;2:58:07;1,5;15,9;0,0;19,8;;
316;126,4;01/04/1970;2:58:07;1,5;16,0;0,0;20,3;;
317;126,8;01/04/1970;2:58:08;1,5;15,9;0,0;19,1;;
318;127,2;01/04/1970;2:58:08;1,5;15,9;0,0;21,0;;
319;127,6;01/04/1970;2:58:09;1,5;16,0;0,0;19,3;;
320;128;01/04/1970;2:58:09;1,5;15,9;0,0;20,3;;
321;128,4;01/04/1970;2:58:09;1,5;15,9;0,0;20,8;;
322;128,8;01/04/1970;2:58:10;1,5;16,0;0,0;19,1;;
323;129,2;01/04/1970;2:58:10;1,5;15,9;0,0;21,0;;
324;129,6;01/04/1970;2:58:11;1,5;15,9;0,0;19,5;;
325;130;01/04/1970;2:58:11;1,5;16,0;0,0;20,0;;
326;130,4;01/04/1970;2:58:11;1,5;15,9;0,0;20,8;;
327;130,8;01/04/1970;2:58:12;1,5;16,0;0,0;19,2;;
328;131,2;01/04/1970;2:58:12;1,5;16,0;0,0;21,0;;
329;131,6;01/04/1970;2:58:13;1,5;15,9;0,0;19,7;;
330;132;01/04/1970;2:58:13;1,5;15,9;0,0;20,0;;
331;132,4;01/04/1970;2:58:13;1,5;16,0;0,0;21,0;;
332;132,8;01/04/1970;2:58:14;1,5;15,9;0,0;19,4;;
333;133,2;01/04/1970;2:58:14;1,5;16,0;0,0;21,2;;
334;133,6;01/04/1970;2:58:15;1,5;16,0;0,0;19,9;;
335;134;01/04/1970;2:58:15;1,5;16,0;0,0;19,7;;
336;134,4;01/04/1970;2:58:15;1,5;16,0;0,0;20,7;;
337;134,8;01/04/1970;2:58:16;1,5;16,0;0,0;19,0;;
338;135,2;01/04/1970;2:58:16;1,5;15,9;0,0;20,8;;
339;135,6;01/04/1970;2:58:17;1,5;15,9;0,0;19,7;;
340;136;01/04/1970;2:58:17;1,5;16,0;0,0;20,0;;
341;136,4;01/04/1970;2:58:17;1,5;16,0;0,0;20,8;;
342;136,8;01/04/1970;2:58:18;1,5;16,0;0,0;18,9;;
343;137,2;01/04/1970;2:58:18;1,5;16,0;0,0;20,8;;
344;137,6;01/04/1970;2:58:19;1,5;16,0;0,0;19,9;;
345;138;01/04/1970;2:58:19;1,5;16,0;0,0;20,1;;
346;138,4;01/04/1970;2:58:19;1,5;16,0;0,0;21,1;;
347;138,8;01/04/1970;2:58:20;1,5;16,0;0,0;19,2;;
348;139,2;01/04/1970;2:58:20;1,5;15,9;0,0;21,0;;
349;139,6;01/04/1970;2:58:21;1,5;16,0;0,0;19,7;;
350;140;01/04/1970;2:58:21;1,5;16,0;0,0;20,2;;
351;140,4;01/04/1970;2:58:21;1,5;16,0;0,0;21,3;;
352;140,8;01/04/1970;2:58:22;1,5;16,0;0,0;19,1;;
353;141,2;01/04/1970;2:58:22;1,5;16,0;0,0;20,9;;
354;141,6;01/04/1970;2:58:23;1,5;16,0;0,0;19,7;;
355;142;01/04/1970;2:58:23;1,5;16,0;0,0;20,4;;
356;142,4;01/04/1970;2:58:23;1,5;16,1;0,0;21,4;;
357;142,8;01/04/1970;2:58:24;1,5;16,0;0,0;19,6;;
358;143,2;01/04/1970;2:58:24;1,5;16,0;0,0;21,1;;
359;143,6;01/04/1970;2:58:25;1,5;16,1;0,0;19,9;;
360;144;01/04/1970;2:58:25;1,5;16,0;0,0;20,0;;
361;144,4;01/04/1970;2:58:25;1,5;16,0;0,0;21,1;;
362;144,8;01/04/1970;2:58:26;1,5;16,1;0,0;19,1;;
363;145,2;01/04/1970;2:58:26;1,5;16,0;0,0;20,8;;
364;145,6;01/04/1970;2:58:27;1,5;16,1;0,0;19,8;;
365;146;01/04/1970;2:58:27;1,5;16,1;0,0;19,7;;
366;146,4;01/04/1970;2:58:27;1,5;16,1;0,0;20,9;;
367;146,8;01/04/1970;2:58:28;1,5;16,0;0,0;19,0;;
368;147,2;01/04/1970;2:58:28;1,5;16,1;0,0;20,6;;
369;147,6;01/04/1970;2:58:29;1,5;16,0;0,0;20,0;;
370;148;01/04/1970;2:58:29;1,5;16,1;0,0;20,2;;
371;148,4;01/04/1970;2:58:29;1,5;16,2;0,0;21,4;;
372;148,8;01/04/1970;2:58:30;1,5;16,0;0,0;19,2;;
373;149,2;01/04/1970;2:58:30;1,5;16,1;0,0;21,1;;
374;149,6;01/04/1970;2:58:31;1,5;16,2;0,0;20,0;;
375;150;01/04/1970;2:58:31;1,5;16,0;0,0;20,1;;
376;150,4;01/04/1970;2:58:31;1,5;16,2;0,0;21,3;;
377;150,8;01/04/1970;2:58:32;1,5;16,2;0,0;19,2;;
378;151,2;01/04/1970;2:58:32;1,5;16,1;0,0;20,9;;
379;151,6;01/04/1970;2:58:33;1,5;16,1;0,0;19,9;;
380;152;01/04/1970;2:58:33;1,5;16,1;0,0;19,7;;
381;152,4;01/04/1970;2:58:33;1,5;16,2;0,0;21,2;;
